,type,content_cleaned,label
45,article,expert say nt need wear glove grocery store especially diligent washing hand touching face getty image expert say wearing glove grocery shopping probably wo nt lower risk contracting virus cause covid19 say glove make conscious touching item well send message people nearby taking precaution center disease control prevention provides tip,0
46,article,researcher say 25 percent 50 percent people covid19 unaware virus allows novel coronavirus spread rapidly throughout community expert say carrier without symptom make even important people wear face mask public data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page,0
47,article,california installed strict shelter place order mid march expert say significantly contained covid19 spread early getty image california looking plan slowly lift covid19 shelter place order state fewer covid19 case death state expert say california decision implement stay home order early big factor success battling outbreak add california healthcare system also,0
48,article,health expert warn experimental drug found effective made widely available getty image antimalarial drug hydroxychloroquine widely promoted cure covid19 still lack good data true benefit small clinical trial shown possible benefit others shown opposite fda reissued warning people nt take drug without doctor supervision antimalarial drug hydroxychloroquine r,0
49,article,transfer novel coronavirus via clothing unlikely expert agree scenario immediate laundering good idea getty image documented case transmission novel coronavirus via clothing shoe point taking care frequently close proximity individual covid19 laundry often essential part preventive hygiene includes particular high risk individual h,0
50,article,stress induces production release key stress hormone body huge impact skin getty image staying inside long period time effect skin dry air stress change skincare routine disrupt skin health mild soap moisturizers facial help keep skin healthy data statistic based publicly available data time publication information may,0
51,article,telehealth option making big difference people seeking medical help covid19 pandemic especially older adult getty image march center medicare medicaid service began allowing medicare beneficiary receive care via telehealth telemedicine best served occurs doctor already relationship help keep patient chronic condition emergency room leave room covid19,0
52,article,talked expert using herbal remedy amid pandemic getty image herbal remedy long used treat infection virus common cold influenza fever even herpes one biggest problem using herb u many herbal natural remedy low quality certain herb misused could boost immune system even lead cytokine storm data statistic based publicly available data,0
53,article,expert say staffing level becoming major concern frontline worker become ill covid19 getty image frontline worker police officer firefighter paramedic hospital employee becoming ill covid19 expert say increase due lack personal protective equipment well close contact worker virus staffing level hospital police station ambulance affected expert say emerge,0
54,article,expert say biology well behavior may among reason men woman developing covid19 dying disease getty image several study shown men dying covid19 woman expert say part reason woman tend stronger immune system men add men also tend engage risky behavior ignoring physical distancing nt take symptom seriously data statistic based p,0
55,article,currently scientific evidence establishes hiv increased risk factor covid19 expert say nt mean people living hiv nt take extra step protect health getty image currently scientific evidence establishes living hiv increased risk factor covid19 hiv medication used clinical trial see whether combat sars cov2 virus cause covid19 far,0
56,article,despite high number death early sign united state avoided worst case scenario projection changed time potential public health outcome covid19 one thing expert agree going away anytime soon fall possibility covid19 returning along seasonal flu week expected difficult far death hospitalization related covid19 united stat,0
57,article,picking right material face mask help keep safe getty image using doubled 600thread count pillowcase flannel pajama could make mask provides 60 percent filtration material used filter dangerous particle include hepa filter vacuum cleaner bag quilters cotton careful material like household air filter may contain fiberglass could still damage lung even filter virus p,0
58,article,scientist around world working number vaccine treatment covid19 xinhua zhang yuwei via getty image scientist around world working potential treatment vaccine new coronavirus disease known covid19 several company working antiviral drug already use illness treat people already covid19 company working vaccine could used preventive measure aga,0
59,article,new study report third people united state working home covid19 pandemic also drinking job 36 percent men 26 percent woman said drink work hour expert say alcohol consumption working affect job performance could noticed employer expert also expressed concern possibility heavy alcohol use could increase shelter place order data stat,0
60,article,new figure indicate covid19 pandemic hitting african american community harder group expert say trend fueled factor higher rate underlying medical condition well lack health service expert say testing done minority community medical service provided data statistic based publicly available data time publication information may date visit,0
61,article,9 healthier choice may want consider 6 item consider limiting avoid altogether instead said look food rich antioxidant fiber protein healthy fat support energy need keep best important keep mind shelf life nutritional value tempting pack cart cooky sweet treat get mind stressor face food wo nt support immune syst,0
62,article,expert say false negative covid19 test probably occur due insufficient collecting sample laboratory examination getty image early research indicates common test covid19 may produce false negative 30 percent time expert say inaccuracy probably caused collection sample actual laboratory testing say people covid19 symptom assume illness even test,0
63,article,expert say establishing consistent daily weekly routine way people feel certainty covid19 isolation among advice daily routine create workspace outside bedroom get dressed going office among advice weekly routine make day consistent still different well selecting certain day exercise special dinner data statistic based publicly available dat,0
64,article,expert say treating home mild case covid19 similar would treat flu getty image common symptom mild case covid19 include sore throat coughing fever shortcut getting virus best practice advice staying hydrated getting plenty rest monitoring symptom mild symptom follow cdc limit transmission higher risk due,0
65,article,celebrity musician creating online video help lift people spirit covid19 shelter place order addition people creating sidewalk chalk art putting teddy bear window help ease lockdown isolation expert say effort show people trying shine bright light darker day pandemic data statistic based publicly available data time publication information may da,0
66,article,expert worried people asymptomatic could still spread virus getty image cdc sparked fiery debate among health expert guidance allow asymptomatic people exposed virus go back work long take certain step expert say guidance could mean triggering second wave covid19 data statistic based publicly available data time publication information may date,0
67,article,member military tell healthline adequately protected new coronavirus sars cov2 base ship getty image member army air force navy tell healthline fearful developing covid19 ship military base say pentagon enough protect virus close quarter veteran organization also say u department veteran affair providing adequate healthcare vet,0
68,article,simple way keep house clean covid19 outbreak getty image sars cov2 potentially life threatening pathogen invade living space remarkably easily recent study found sars cov2 persist plastic stainless steel surface 2 3 day according american lung association cleaning agent household product irritate eye throat cause health problem include cancer data,0
69,article,expert say past research helped speed process covid19 vaccine new potential product still get time consuming scientific step thibault savary afp via getty image past research helping speed search covid19 vaccine approval process probably still take 18 month 2 year expert note potential vaccine still need go rigorous three phase clinical trial process expert add important,0
70,article,covid19 symptom vary widely different people ranging deadly pneumonia loss smell even symptom many people report mild symptom initially severe fever coughing 80 percent case estimated mild still take severe toll data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page,0
71,article,expert say nt count supplement way stop covid19 getty image doctor warn relying supplement taking much may harm good many vitamin mineral impact overall immunity single one solely influence immunity want add new supplement talk doctor data statistic based publicly available data time publication information may date visit coronavirus,0
72,article,expert say people severe mental illness likely contract new coronavirus le likely get proper treatment disease covid19 getty image expert say people severe mental illness face serious issue covid19 pandemic say people mental illness lifestyle increase risk contracting new coronavirus also underlying health condition raise risk developing serious case,0
73,article,expert say people asthma nt face higher risk contracting covid19 face higher risk serious illness contract virus expert recommend people asthma consult doctor medication people asthma also advised reduce stress take extra precaution around home data statistic based publicly available data time publication information may date visit coron,0
74,article,distance learning covid19 outbreak provide kid benefit go beyond academic getty image stay home order important child still consistent structure day although kid may learning much would classroom online lesson meeting student help provide social interaction child missing stuck home child schoolwork seems overwhelming speak,0
75,article,expert learning covid19 could mutate tayfun coskun anadolu agency via getty image every virus mutates part virus life cycle shift change nt always big deal new coronavirus rna virus collection genetic material packed inside protein shell rna virus like flu measles prone change mutation compared dna virus herpes smallpox human papillomavirus hpv new coronavirus sars,0
76,article,homemade face covering probably wo nt protect covid19 help prevent spreading disease others virus spencer platt getty image confirmed case covid19 continue rise cdc recommending everyone wear cloth mask go public expert say homemade mask wo nt protect someone getting sick help prevent spread disease virus expert also recommend tha,0
77,article,expert say pet help people feel le lonely well provide joy isolation covid19 outbreak getty image expert say pet help people deal loneliness isolation covid19 shelter place order add pet especially dog help motivate people go outside exercise take break work pet adoption rise covid19 outbreak expert say people take consideration live w,0
78,article,expert learning antibody test may help fight covid19 horacio villalobos corbis via getty image fda approved first antibody test covid19 several group also working blood test would show whether someone covid19 possibly whether immune type test could help official discover longer risk developing disease data statistic based publicly available data time publication,0
79,article,sheltering place kid teen going craving interaction friend ca nt replicated online getty image social distancing may particularly difficult child teen child get older socially adept peer group becomes important hub social development immediate family expert say parent may worry impact stay home order child social development th,0
80,article,caring people alzheimers disease period social distancing challenging following 5 simple tip may help getty image demonstrating wash hand loved one alzheimers disease help ensure practice safe hygiene alzheimers association recommends planning caregiver step case become ill covid19 talk loved one pandemic term understand practice self care yo,0
81,article,mask used medical personnel focus covid19 shortage expert say product pain reliever saline bag could also affected ina fassbender afp via getty image addition mask glove health official say covid19 pandemic could result shortage medical supply saline bag prescription pain reliever particular concern shortage drug used treat malaria lupus tested poten,0
82,article,expert saying sign covid19 could become seasonal illness like influenza say better treatment vaccine important covid19 return next year health official australia already told citizen get flu shot early start practicing social distancing southern hemisphere begin enter winter season data statistic based publicly available data time publication information may dat,0
83,article,expert say covid19 two three time contagious flu virus spread rapidly person person gathering getty image expert noting example across country one social gathering choir practice funeral quickly spread covid19 note illness caused novel coronavirus appears two three time contagious flu add early research indicates people covid19 may transmit,0
84,article,health care provider take extra step avoid covid19 new york city stephanie keith getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak physician tell u like battle new coronavirus epicenter u outbreak new york city regular life become surreal,0
85,article,medical expert say key stop medication without talking physician getty image concern began study stated ibuprofen boost angiotensin converting enzyme 2 ace2 may facilitate worsen covid19 world health organization warned patient stick acetaminophen say advise using ibuprofen cardiologist advise patient stay medication data statistic based,0
86,article,knowing buy much help better prepared pandemic getty image course best time shop pandemic begin many thing pandemic prepare nonperishable food water hand prepare sort natural disaster including pandemic necessary hoard pandemic practicing social distancing keeping hand clean help keep safe whi,0
87,article,expert saying people use e cigarette regular cigarette could face higher risk serious illness covid19 say vaping smoking damage lung make difficult person fight covid19 expert add despite potential serious consequence people vape smoke might still considered high priority patient medical facility say best thing stop smoking vaping,0
88,article,home healthcare worker using everything televisits protective gear thermometer continue take care people home getty image covid19 outbreak forcing home healthcare worker change treat older adult ill people agency official say worker conducting televisits help avoid transmitting virus client also wearing personal protective gear often carrying thermometer check fever,0
89,article,covid19 outbreak grows united state people immunocompromised put great danger simply living life majority american sort shelter place order talked two people immunocompromised life amid pandemic estimated 60 percent american live least one chronic health condition put seriously risk complication novel coronavirus data statistic ar,0
90,article,recent study report covid19 live surface cardboard 24 hour plastic stainless steel 3 day however microbiologist say nt call panic bathroom kitchen area harbor germ home expert say proper cleaning clear away variety germ data statistic based publicly available data time publication information may date visit coronavirus hub foll,0
91,article,many dentist office closed expert say important ever brush properly floss regularly getty image dentist office closed routine procedure covid19 outbreak dentist urging people brush twice day floss day take care teeth say keeping toothbrush clean also important good dental health data statistic based publicly available data time publication informat,0
92,article,covid19 may hurt heart according new reserach marco mantovani getty image new study find covid19 cause heart injury even people without underlying heart issue according research chinese center disease control prevention ccdc death rate covid19 patient heart disease 105 percent expert say important people cardiovascular disease isolated people covid19 symptom data statistic b,0
93,article,expert advise clean grocery marco bello anadolu agency via getty image virus cause covid19 viable 72 hour certain surface taking extra care handling grocery reduce risk exposure expert say simple step keep safe data statistic based publicly available data time publication information may date visit coronavirus hub follow live update,0
94,article,expert say south korea introduced testing measure quickly efficiently united state response covid19 outbreak seongjoon cho bloomberg via getty image united state reporting 15 time confirmed covid19 case death south korea despite six time population expert say disparity due south korea ramping testing quickly implementing preventive measure school closure earlier,0
95,article,may seem like simple playdate could negatively impact health child others come contact duration covid19 pandemic getty image despite stay home order current guideline need social distancing parent continue plan playdates kid child parent may heard kid nt risk covid19 accurate child nt risk covid19 c,0
96,article,sleep deprivation affect immune system make vulnerable illness getty image stress anxiety make getting healthy amount sleep night difficult regularly getting enough quality sleep important component physical mental health sleep deprivation reduce immune system increase inflammation body making vulnerable illness data statistic based publicly available data time,0
97,article,known case covid19 united state topped 80000 expert think likely far lower actual number case death united state 1100 multiple state issued form shelter place stay home order data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information,0
98,article,focusing conversation roommate around action responsible step taking social distancing empower getty image million american shared living situation across country facing dilemma convince roommate take covid19 social distancing hygiene measure seriously expert advise open empathic discussion roommate conversation stay calm,0
99,article,fatigue body ache symptom flu novel coronavirus flu usually nt cause shortness breath getty image expert note novel coronavirus flu allergy different symptom main symptom novel coronavirus fever tiredness cough shortness breath allergy chronic symptom include sneezing wheezing coughing flu symptom similar novel coronavirus fever bod,0
100,article,medical personnel speaking forced reuse mask glove gown resort making protective medical gear one nurse told healthline allowed one surgical mask per shift center disease control prevention cdc reuse overuse ppe crisis capacity though necessary commensurate u standard care data statistic based publicly available data time publica,0
101,article,myth circulating covid19 outbreak leading people behave way could endanger health health others getty image flu covid19 cause respiratory illness different dry cough fever fatigue three early symptom commonly associated infection sars cov2 coronavirus cause covid19 disease although older people immunosuppressed greatest risk complication,0
102,article,stay home order restrict people leaving home anything essential activity intended limit people contact order slow spread disease getty image march 16 2020 u government announced set guideline intended slow spread covid19 individual state begun issue stay home order well stay home order restrict people leaving home anything essen,0
103,article,expert say expect covid19 pandemic linger least year social distancing protocol empty store shelf occurring along wave infection getty image numerous report computer modeling indicates well see multiple wave covid19 pandemic coming month self isolation wo nt stop disease reduce strain medical resource allowing doctor save life scientist doctor around world workin,0
104,article,place healthcare worker seriously ill patient getting tested new coronavirus cause covid19 horacio villalobos corbis via getty image place healthcare worker seriously ill patient tested covid19 expert say shortage test kit mask forcing medical professional make tough choice say testing important provide swift proper treatment people contract,0
105,article,turning alcohol pot substance help ease feeling stress loneliness covid19 outbreak could harm good here expert suggest instead getty image expert advise using substance marijuana alcohol help reduce stress anxiety loneliness social distancing covid19 outbreak context covid19 pandemic behavior present additional problem marijuana inhaled subst,0
106,article,news death among healthcare worker involved fight new coronavirus highlighted danger disease connecticut least 200 nurse sidelined duty put isolation due lack testing according current cdc guideline depending type exposure presentation symptom healthcare worker could excluded work minimum 2 week none data statistic based publicly avail,0
107,article,speaking older parent importance social distancing covid19 pandemic challenging expert say following simple tip make big difference getty image getting older parent understand importance social distancing covid19 pandemic may challenging people parent le likely listen advice another person parent trust speak family friend sibling pasto,0
108,article,simple step take help prep possibility may contract covid19 aid recovery already tested positive start feel mild moderately symptomatic jennifer williams mph research scientist hydration expert medical device consumer product company abbott told healthline mean probably recover home good news estimated 80 percent covid19 china experienced mild mod,0
109,article,early study indicated antimalarial drug might effective treating covid19 expert say research needed people nt use label medication kay nietfeld picture alliance via getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak study publ,0
110,article,expert say sheltering place home important even nt reported case covid19 community getty image expert say important people town without covid19 case start taking precautionary measure self isolation note people wait covid19 case show already late expert said young adult child mild symptom still spread disease say effort f,0
111,article,expert contend staying home practicing social distancing key flattening curve covid19 case flattening curve refers slowing number new case hospital nt overwhelmed one time many city state government closed nonessential business limited group gathering data statistic based publicly available data time publication information may date visit coronavirus hub f,0
112,article,chemotherapy continuing healthcare service postponed people undergoing cancer treatment getty image covid19 outbreak disrupted healthcare service people treated cancer chemotherapy continuing healthcare service postponed expert say delay increase anxiety people already feeling stressed cancer data statistic based publicly available data time p,0
113,article,expert say isolation boredom trigger people recovering substance use getty image expert say people recovering substance use facing serious relapse issue coronavirus shelter place order say self isolation boredom come trigger relapse drug alcohol use say many organization alcoholic anonymous information people connect using social medium onl,0
114,article,recent study china concluded people type blood may higher risk contracting new coronavirus people type expert say research interesting study need done verify result expert add past research shown connection blood type illness stomach flu well risk stroke cognitive impairment data statistic based publicly available data,0
115,article,researcher learning covid19 impacted otc medication getty image expert say clear evidence ibuprofen make covid19 worse one thing specific covid19 lab experiment showing ibuprofen may boost amount ace2 receptor virus us infect cell could make virus spread faster data statistic based publicly available data time publication information may date visit,0
116,article,expert say giving home deep cleaning bolster immune system encourage healthy eating reduce stress getty image expert say thorough spring cleaning home number health benefit starter clean home strengthen immune system help avoid illness decluttered house also reduce stress depression well help avoid injury data statistic based publicly available data time publication,0
117,article,jrme salomon france director general health announced 50 percent country covid19 patient intensive care age 60 according cnn report specify age range group patient icu 12 percent age 45 died group 500 patient hospitalized 208 percent age 20 44 18 percent 45 54 united state among almost 2500,0
118,article,hashtag highriskcovid19 trending twitter story people age immunosuppressed 20 percent people develop covid19 severe critical case according data china people weakened immune system increased risk developing serious complication like pneumonia data statistic based publicly available data time publication information may date visit coronavirus hub,0
119,article,social distancing responsibility individual take make sure vector disease break chain transmission said may chu phd clinical professor department epidemiology colorado school public health aurora colorado critical everyone practice social distancing sick jones told healthline help vulnerable population like older adult getting virus due delay te,0
120,article,covid19 outbreak continues spread child may question experiencing increased fear getty image extensive news coverage potentially deadly nature covid19 pandemic child may develop fear risk health safety expert say parent listen childrens fear dismiss talking kid may seeing news hearing peer parent make sure,0
121,article,expert say people diabetes purchase 90day supply insulin well exercise eat healthy wash hand practice social distancing outbreak getty image expert say people diabetes may higher risk covid19 complication general public although research nt definitive expert recommend people diabetes prepare possible infection purchasing 90day supply insulin say people diabetes,0
122,article,american red cross say covid19 outbreak drastically reduced blood donation needed surgery transfusion transplant getty image data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak new coronavirus testing healthcare system worldwide community across country,0
123,article,necessary wash hand frequently tip help keep skin becoming dry chapped getty image diligent handwashing may keep germ away may also damage skin washing warm water rather hot keep hand getting dry blotting rather drying hand dry keep abrasion forming hand sanitizer used temporarily place washing hand extremely chapped data statistic based publicly,0
124,article,hospital preparing surge patient covid19 coming week getty image official number case covid19 topped 7800 expert believe number likely much higher lack testing kit mean many people symptom tested without robust testing health official hard time determining scale outbreak data statistic based publicly available data time publication informa,0
125,article,cellphone carrier microbial life form including bacteria virus fungi getty image covid19 pandemic important clean commonly touched surface one type surface touch frequently phone touch screen phone touch screen usually cleaned using disinfecting wipe check maker phone first frequency cleaning vary depending habit likelihood exposure data statistic,0
126,article,expert say connecting others especially similar situation ease loneliness quarantined isolated coronavirus disease outbreak getty image new app called quarantine chat may help people experiencing loneliness isolation covid19 outbreak mental health expert say important people stay connected quarantine well talk others similar situation expert say num,0
127,article,research limited expert nt see evidence disease passed utero newborn may face risk contract disease born expert still learning best way woman contract covid19 give birth minimize risk transmission data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent,0
128,article,stress anxiety spread novel coronavirus coupled increased social distancing isolation recommendation may affecting mental health realize getty image face uncertainty novel coronavirus measure take stay calm living mental health condition like depression anxiety ptsd filling prescription ahead time asking therapist hold telemedicine session ensure,0
129,article,people may tempted make hand sanitizers expert washing hand soap warm water better choice getty image recipe homemade hand sanitizers available online expert say diy product may best option coronavirus disease outbreak say recipe complicated people product mixed incorrectly cause burn issue expert say washing hand soap warm wa,0
130,article,data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak emergency department staff known able handle almost anything come way emergency department front door hospital healthcare system safety net else fails primary docto,0
131,article,expert concerned could run hospital bed covid19 spread getty image washington state authority sent urgent request 233000 respirator 200000 surgical mask released federal stockpile received le half amount requested according recent figure united state roughly three hospital bed every 1000 people typically occupied leaving approximately 300000 bed available n,0
132,article,two family new york discus life like ca nt venture public tamar weinberg family quarantine since march 3 photo courtesy tamar weinberg data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak tamar weinberg lost track many day quaran,0
133,article,novel coronavirus spread air well contact contaminated surface plastic stainless steel virus live 3 day getty image expert say canceling event draw large crowd important step combating spread novel coronavirus virus spread like virus cause common respiratory illness flu via droplet excreted coughing sneezing breathing,0
134,article,expert say number way get full body workout home getty image expert say fitness center great place get exercise also place something like new coronavirus spread gym instituted practice thoroughly clean equipment often fitness expert say number way get full body workout exercising home data statistic based publicly available data time publ,0
135,article,misinformation covid19 spreading online including many fake cure treatment disease least seven company warned food drug administration fraudulent product treat covid19 product cited warning letter include tea essential oil tincture colloidal silver data statistic based publicly available data time publication information may date visit coronavirus hub,0
136,article,people wait line buy ticket south southwest music festival last week popular annual event canceled getty image past week public event music festival sport contest conference canceled due coronavirus disease outbreak expert say essential ban large gathering widespread disease easily transmit note illness spread even small gathering sometimes,0
137,article,last time pandemic declared 11 year ago alfonso di vincenzo kontrolab lightrocket via getty image world health organization declared global pandemic due rise covid19 distinct outbreak epidemic pandemic pandemic epidemic spread several country continent affect large percent population data statistic based publicly available data time publication informati,0
138,article,1918 flu pandemic led hundred thousand death u getty image sars 1918 flu pandemic ebola helped public health official prepare major outbreak major outbreak different though expert hard time predicting end fallout disease largely depends circumstance catch contagious fatal hygienic people quickly vaccine cure becomes available,0
139,article,official china battling new coronavirus disease outbreak 17 year sars outbreak getty image criticized slow response sars china facing global scrutiny handling new coronavirus time global sars outbreak contained virus spread 8000 people worldwide killed almost 800 new coronavirus sars cov2 cause disease covid19 already surpassed 2003 sars outbreak dat,0
140,article,place healthcare worker seriously ill patient getting tested new coronavirus cause covid19 horacio villalobos corbis via getty image place healthcare worker seriously ill patient tested covid19 expert say shortage test kit mask forcing medical professional make tough choice say testing important provide swift proper treatment people contract,0
141,article,expert say expect covid19 pandemic linger least year social distancing protocol empty store shelf occurring along wave infection getty image numerous report computer modeling indicates well see multiple wave covid19 pandemic coming month self isolation wo nt stop disease reduce strain medical resource allowing doctor save life scientist doctor around world workin,0
142,article,virus love touch face simple thing help break habit getty image touching face significantly increase risk infection flu cold virus new coronavirus eye mouth area virus easily enter body study found people touch face 16 time hour touch face often odds recontaminating hand washing extremely h,0
143,article,case testing novel coronavirus free could still hook medical cost related testing hospital visit widespread testing people risk coronavirus infection needed avoid rapid spread virus uninsured underinsured one likely think twice going hospital doctor office coronavirus test data statistic based publicly available data time publicati,0
144,article,elderly especially preexisting condition like diabetes heart disease lung disease may severely affected new virus covid19 may similar seasonal flu 70 85 percent flu related death 50 70 percent flu related hospitalization occur among 65 year according nt reason panic expert recommend taking step prepare case contract disease cdc people wear clo,0
145,article,clear step take think might sick getty image currently limited supply test kit public health department everyone qualify testing first thing want ask think may covid19 milder symptom give primary care physician call first advice data statistic based publicly available data time publication information may dat,0
146,article,data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak new coronavirus quickly spread around globe health official hustling manage spread cushion blow pandemic travel ban limiting entry high risk country border sealed people force,0
147,article,expert say common medication may help case viral infection str afp via getty image tip medication counter otc drug hand covid19 outbreak get least 1 month prescription medication nt worry running otc medication may help relieve symptom coronavirus mild case data statistic based publicly available data time publication,0
148,article,march 3 addition 48 case repatriated people diamond princess cruise ship japan 60 new case covid19 across 12 state expert say people nt need panic prepare case quarantined home 14 day data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent informati,0
149,article,seasonal flu dissipates summer month people stop congregating close quarter may true covid19 expert looking see virus spread southern hemisphere currently summer clue point expert unsure whether covid19 become annual respiratory disease stopped time data statistic based publicly available data time publication information,0
150,article,italy hard hit new coronavirus antonio masiello getty image asking patient recent travel history could help slow spread covid19 say infectious disease expert main covid19 fever cough shortness breath emerging infectious disease also occur illness data statistic based publicly available data time publication information may date visit coronavirus hub fol,0
151,article,article updated april 27 2020 include information home testing kit april 29 2020 include additional symptom 2019 coronavirus sars cov2 new coronavirus emerged late 2019 cause respiratory illness called covid19 many people get covid19 mild illness others become severely ill covid19 share many similarity seasonal influenza however also several difference two well take,0
152,article,expert warn state reopening still nt enough testing u state start loosen stay home order expert warn covid19 could come back enough testing according associated press significant number state reopening still meeting key testing benchmark suggested harvard global health institute according institute world health organization enough testing done,0
153,article,current worldwide outbreak covid19 left many people concern spread new disease among concern one important underlying question exactly pandemic spread novel coronavirus sars cov2 officially defined pandemic world health organization due sudden emergence expansion around world article well explore defines pandemic prepare pandemic many pandemi,0
154,article,help limit transmission virus center disease control prevention cdc advising american avoid nonessential travel china since covid19 virus first detected china december 2019 75000 case infection confirmed individual traveler help limit covid19 virus transmission practicing good hand hygiene minimizing contact people sick taking step help manage ri,0
155,article,coronaviruses cause respiratory illness lung usually affected first early include fever cough shortness breath appear soon 2 day long 14 day exposure virus damage also occur part body especially serious illness data statistic based publicly available data time publication information may date visit coronavirus hub follow live update pag,0
156,article,one effective way prevent spread illness encourage employee stay home sick outbreak h1n1 swine flu 2009 estimated 8 million worker contagious h1n1 nt take time work led many 7 million additional case virus data statistic based publicly available data time publication information may date visit coronavirus hub follow live upda,0
157,article,expert warn state reopening still nt enough testing u state start loosen stay home order expert warn covid19 could come back enough testing according associated press significant number state reopening still meeting key testing benchmark suggested harvard global health institute according institute world health organization enough testing done,0
158,article,new study found certain people super spreader infected others coronavirus xiong qi xinhua via getty 43000 people infected new coronavirus united state 12 people diagnosed disease two new study published jama friday found virus transmitted easily person person data statistic based publicly available data time publication information may date vi,0
159,article,expert warn state reopening still nt enough testing u state start loosen stay home order expert warn covid19 could come back enough testing according associated press significant number state reopening still meeting key testing benchmark suggested harvard global health institute according institute world health organization enough testing done,0
160,article,myth circulating covid19 outbreak leading people behave way could endanger health health others getty image flu covid19 cause respiratory illness different dry cough fever fatigue three early symptom commonly associated infection sars cov2 coronavirus cause covid19 disease although older people immunosuppressed greatest risk complication,0
161,article,number way germ grow shower curtain expert say nt serious health threat people getty image study research company say shower curtain probably germ anything bathroom expert say germ bacteria grow shower curtain nt serious health threat people expert also say still properly clean shower curtain regular basis may showering,0
162,article,article updated april 29 2020 include additional information symptom covid19 infectious disease caused new coronavirus discovered outbreak wuhan china december 2019 since initial outbreak coronavirus known sars cov2 spread country around world responsible million infection globally causing hundred thousand death united state affected country yet v,0
163,article,two flu strain overlapping flu season mean get sick twice different flu strain flu vaccine nt perfect match best defense flu editor note developing story updated since first published healthline continue update article new information flu still going strong seeing widespread activity 26 million american gotten flu,0
164,article,data statistic based publicly available data time publication information may date visit coronavirus hub follow live update page recent information covid19 outbreak new coronavirus quickly spread around globe health official hustling manage spread cushion blow pandemic travel ban limiting entry high risk country border sealed people force,0
165,article,multiple company working vaccine fight new coronavirus getty image several group working vaccine new coronavirus guarantee ready end current outbreak one group say may experimental vaccine ready initial testing month expert caution expedited timeline nt always allow careful evaluation safety effectiveness vaccine data statistic,0
166,article,novel coronavirus spread air well contact contaminated surface plastic stainless steel virus live 3 day getty image expert say canceling event draw large crowd important step combating spread novel coronavirus virus spread like virus cause common respiratory illness flu via droplet excreted coughing sneezing breathing,0
167,article,new coronavirus first detected wuhan china getty image coronaviruses named crown like shape first identified mid1960s virus typically cause respiratory illness like common cold new found virus may originated bat spread human via snake pangolin seven coronaviruses known infect human data statistic based publicly available data time publication information may,0
168,article,flu vaccine help prevent flu get sick four fda approved medication treating flu symptom med need taken within 24 48 hour onset symptom effective typically medication lessen severity symptom preventing flu virus multiplying 2019 20 dominant flu strain peaked unusual time also affecting child young adult usual 2019 20 flu season already throw,0
169,article,several prescription antiviral drug available reduce severity duration flu given within first 48 hour getty image prescription antiviral drug help eliminate flu sooner reduce severity symptom especially beneficial risk developing severe flu complication antiviral found reduce duration illness 1 12 day given within first 48 hour flu season thi,0
170,article,researcher say half millennials received flu shot third nt plan get vaccination getty image survey report 51 percent millennials united state nt received flu shot 32 percent nt plan get one survey also indicated millennials african american likely influenced anti vaccination group expert say millennials may reluctant get vaccinated fewer healthcar,0
171,article,flu still spreading near peak flu season getty image northern western state hit hard currently influenza b strain appearing often around country cdc announced high number pediatric death related flu united state may gearing one worst flu season year health expert predict center disease control prevention cdc reported friday 32 pediatric death far,0
